,languages,pc1,pc2,pc3,iol,prim_or_neigh
0,Ancient_Greek,1.5184385332572723,-0.6466687406791313,-0.4653445858531569,inflected,primaries
1,Arabic,0.010420612021467275,-0.6254810750155212,1.041100065822624,inflected,primaries
2,Armenian,3.4572891832833177,1.1464901005452413,-0.49964875982570583,inflected,primaries
3,Basque,-0.7930630819726293,0.24053144582580674,0.26105064576716747,inflected,primaries
4,Belarusian,5.3136632447779375,0.6752789305963254,0.05637359504460254,inflected,primaries
5,Bulgarian,1.117352975871971,-0.4777627886367631,0.6570573469220664,inflected,primaries
6,Catalan,-1.487890110798707,-0.42129931623581685,1.9000665288027188,inflected,primaries
7,Chinese,-1.6827595841367244,-1.3017211500464132,-0.05377270784975221,inflected,primaries
8,Classical_Chinese,-8.206920317092559,1.931119281033886,-0.9851216360215851,inflected,primaries
9,Croatian,2.037356869211937,-0.9100516060636895,0.2303789876016758,inflected,primaries
10,Czech,3.869756363263263,-0.14069157235986193,-0.15977907706419,inflected,primaries
11,Danish,-1.500504441539654,0.4265515891768124,-0.5283278339249383,inflected,primaries
12,Dutch,-1.0836867894114846,-1.06368637645877,-0.786585995311251,inflected,primaries
13,English,-2.1389257703599687,-1.4577888339822533,-1.1679227286931486,inflected,primaries
14,Estonian,4.510097558907451,1.0459491607592253,-0.3046436025736948,inflected,primaries
15,Finnish,4.933283576586733,1.1059057634072338,0.006536848053195641,inflected,primaries
16,French,-0.24934424647997577,-1.1963643721825967,0.24763402640548873,inflected,primaries
17,Galician,-3.309028774570576,-1.0248222348204006,1.4090833015957764,inflected,primaries
18,German,0.36444199947846084,-1.2795893607122482,-0.6062251615363926,inflected,primaries
19,Hebrew,-1.5352309065439882,-0.6043250965840954,1.6706694954076722,inflected,primaries
20,Hindi,-3.906007084921113,-0.2432133600394157,0.15055538608681243,inflected,primaries
21,Icelandic,-3.9662631113714193,0.21860949184781925,-1.3102626767317507,inflected,primaries
22,Indonesian,-1.4144541534554982,-1.1855001077891012,-0.6927787967023247,inflected,primaries
23,Irish,-3.2937801381312126,-0.0056222054711671954,0.14040480460272733,inflected,primaries
24,Italian,0.18249353794068676,-1.2296272257302505,0.30324503430716976,inflected,primaries
25,Japanese,-3.016950725302036,-0.7458353165606018,1.2515072204233992,inflected,primaries
26,Korean,6.573005840446097,1.4458232221919782,-0.4693193611051141,inflected,primaries
27,Latin,-6.232688329310375,1.178338115918969,-0.9596385065257985,inflected,primaries
28,Latvian,4.154084522154106,1.0442547900842143,0.257032988769744,inflected,primaries
29,Lithuanian,3.6599975059219068,-0.3729664006981199,-0.25756083065880236,inflected,primaries
30,Naija,-7.2922343801171,4.3411546544314685,0.05698564523667614,inflected,primaries
31,Norwegian,-1.8790974813735128,-0.7198521368396747,-0.9593287464864946,inflected,primaries
32,Old_Church_Slavonic,0.3355311991278459,-0.4019264140920733,-0.5038031415135389,inflected,primaries
33,Old_East_Slavic,1.6039892723308737,-0.709607972356282,0.38570488721819296,inflected,primaries
34,Old_French,-3.0030594993268944,-0.5389466477794568,-1.6183800331040186,inflected,primaries
35,Persian,-4.161079053225404,-0.6370417225246701,0.14348937134294493,inflected,primaries
36,Polish,2.5932697073841595,1.7913312968641346,0.3946802051498634,inflected,primaries
37,Portuguese,-0.5221245504282033,-0.7416790550061313,0.7958485610350695,inflected,primaries
38,Romanian,-2.8085775756931572,-1.5341247555140944,-1.4552092684522708,inflected,primaries
39,Russian,3.9588951296141603,0.03902210242892385,0.15264262290466019,inflected,primaries
40,Scottish_Gaelic,-4.643879471096701,1.2458370373749774,0.18909500967973933,inflected,primaries
41,Serbian,1.6728860959570837,-0.8122317545482463,-0.14688925105685505,inflected,primaries
42,Slovak,6.116653344480307,0.9742487250645041,-0.21240997397702502,inflected,primaries
43,Slovenian,4.4219715101479204,1.0616623108148933,-0.008561183725275227,inflected,primaries
44,Spanish,-0.5586435854848795,0.20962534739240724,2.304374103056504,inflected,primaries
45,Swedish,-1.0692146713047637,-0.12764477949770264,-0.07287886521158192,inflected,primaries
46,Turkish,2.8730954672212885,-1.430143899452158,-0.37968157525888974,inflected,primaries
47,Ukrainian,5.51811844989298,0.8892428516579672,-0.047385500952263494,inflected,primaries
48,Urdu,-5.624686442520306,1.0810207619074015,1.2399901214781408,inflected,primaries
49,Western_Armenian,4.584001776689662,0.4942192983525805,-0.5940470025988253,inflected,primaries
