,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2,trans
26,52,نے,Urdu,ADP,4,yes,7.3591,-0.9224,2.8563,0.7304,0.6078,0.2801,3,2,2,2,by
4,11,کے,Urdu,ADP,6,yes,6.7569,-4.6785,6.5818,0.7086,0.4745,0.4134,3,2,2,2,of the
13,23,کو,Urdu,ADP,7,yes,7.182,-3.6645,5.2191,0.724,0.5105,0.3647,3,2,2,2,To
53,95,کہ,Urdu,SCONJ,11,yes,1.6941,-1.6166,1.5094,0.5254,0.5832,0.2319,3,2,2,2,That
56,98,پر,Urdu,ADP,12,yes,5.6827,-3.2626,3.4486,0.6697,0.5248,0.3013,3,2,2,2,On
17,29,یہ,Urdu,PRON,17,yes,6.958,-0.0963,3.4144,0.7159,0.6371,0.3001,3,2,2,2,This
36,73,یہ,Urdu,PRON,17,yes,4.6002,-4.5812,3.5578,0.6306,0.478,0.3052,3,2,2,2,This
159,306,کہہ,Urdu,VERB,19,yes,5.8543,-5.1267,4.4374,0.676,0.4586,0.3367,3,2,2,2,say
42,81,بھی,Urdu,PART,20,yes,4.7818,-2.6577,2.9124,0.6371,0.5462,0.2821,3,2,2,2,too
15,25,ہو,Urdu,AUX,21,yes,12.0334,-13.1867,14.3956,0.8997,0.1726,0.693,2,2,2,2,be
158,305,ہو,Urdu,AUX,21,yes,-1.8982,0.0121,1.9603,0.3953,0.641,0.248,5,4,3,2,be
65,119,نہیں,Urdu,PART,25,yes,0.2279,-1.7154,1.1732,0.4723,0.5797,0.2199,5,4,3,2,no
2,8,اےک,Urdu,NUM,26,yes,5.6782,-1.2479,1.02,0.6696,0.5963,0.2144,3,2,2,2,one
35,72,ہے,Urdu,VERB,27,yes,7.0949,-5.8432,6.0689,0.7209,0.4332,0.3951,3,2,2,2,Is
16,27,ہے,Urdu,VERB,27,yes,4.0835,-2.8841,2.6758,0.6119,0.5382,0.2736,3,2,2,2,Is
135,268,اپنا,Urdu,PRON,28,yes,4.1208,-1.2531,0.3291,0.6132,0.5961,0.1897,3,2,2,2,own
214,479,لیے,Urdu,ADP,29,yes,3.0108,-1.1689,0.9939,0.573,0.5991,0.2134,3,2,2,2,Took
140,277,دے,Urdu,AUX,30,yes,8.7025,-8.7148,9.316,0.7791,0.3313,0.5113,2,2,2,2,give
141,278,دے,Urdu,AUX,30,yes,-4.5416,0.007,-0.0959,0.2996,0.6408,0.1744,5,4,3,2,give
198,416,والا,Urdu,ADP,31,yes,-1.745,-0.4657,1.2396,0.4009,0.624,0.2222,5,4,3,2,Gonna
20,37,کر,Urdu,AUX,32,yes,14.8054,-18.0503,22.9729,1.0,0.0,1.0,2,2,2,2,do
71,128,کر,Urdu,AUX,32,yes,-1.6919,-1.1807,0.4205,0.4028,0.5987,0.1929,5,4,3,2,do
223,516,ایک,Urdu,NUM,33,yes,5.2042,2.0949,1.4381,0.6524,0.7149,0.2293,1,1,1,1,one
