,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2,trans
3,3,de,Spanish,ADP,1,no,-0.1283,-26.224,18.2573,0.5936,0.0,1.0,3,2,2,2,of
7,12,el,Spanish,DET,2,no,-0.4497,-13.423,7.2562,0.5777,0.3569,0.5954,3,2,2,2,the
4,5,y,Spanish,CCONJ,4,no,-1.0313,-12.774,6.5063,0.5489,0.3749,0.5678,3,2,2,2,Y
10,16,a,Spanish,ADP,5,no,-0.0578,-18.8529,11.654,0.597,0.2055,0.7571,3,2,2,2,a
20,33,en,Spanish,ADP,6,no,-0.1746,-14.9691,8.9867,0.5913,0.3138,0.659,3,2,2,2,in
38,62,que,Spanish,PRON,8,no,0.5002,-8.7397,3.6588,0.6246,0.4874,0.4631,4,3,3,2,that
28,46,que,Spanish,PRON,8,no,0.7364,-5.9771,3.0048,0.6363,0.5644,0.439,4,3,3,2,that
22,37,se,Spanish,PRON,10,no,-4.5193,-1.3439,0.8782,0.3764,0.6936,0.3608,2,1,1,1,I know
14,21,un,Spanish,DET,11,no,-1.5732,-5.8198,2.4176,0.5221,0.5688,0.4174,4,3,3,2,a
30,51,por,Spanish,ADP,12,no,-0.7929,-9.734,3.1082,0.5607,0.4597,0.4428,4,3,3,2,by
59,106,con,Spanish,ADP,14,no,-1.6358,-6.4437,2.6016,0.519,0.5514,0.4242,4,3,3,2,with
24,40,su,Spanish,DET,18,no,-4.0776,-3.4405,1.9914,0.3983,0.6351,0.4018,2,1,1,1,its
40,68,para,Spanish,ADP,19,no,-2.8878,-3.8282,2.5237,0.4571,0.6243,0.4213,2,1,1,1,for
100,200,lo,Spanish,PRON,20,no,1.313,-4.5925,2.4329,0.6648,0.603,0.418,4,3,3,2,it
110,230,más,Spanish,ADV,21,no,0.5959,-5.8691,0.841,0.6294,0.5674,0.3594,4,3,3,2,plus
80,144,ha,Spanish,AUX,23,no,-3.8186,0.1735,0.3954,0.4111,0.7359,0.3431,2,1,1,1,he has
78,142,pero,Spanish,CCONJ,24,no,-2.7256,-2.502,0.8303,0.4651,0.6613,0.359,2,1,1,1,but
159,408,o,Spanish,CCONJ,25,no,-1.5431,-1.8698,-0.0,0.5236,0.6789,0.3285,2,1,1,1,either
111,233,sus,Spanish,DET,26,no,-5.5952,-1.4126,-1.1388,0.3232,0.6917,0.2866,2,1,1,1,their
148,373,le,Spanish,PRON,27,no,1.2045,0.3417,0.5584,0.6595,0.7406,0.3491,4,3,3,2,you
91,165,entre,Spanish,ADP,28,no,-4.335,-2.4753,0.0615,0.3855,0.662,0.3308,2,1,1,1,Come in
13,20,hoy,Spanish,ADV,29,no,2.2678,-1.2341,-2.6676,0.712,0.6967,0.2304,5,4,3,2,today
95,187,sobre,Spanish,ADP,30,no,-3.4743,-2.4696,0.2667,0.4281,0.6622,0.3383,2,1,1,1,on
79,143,ya,Spanish,ADV,31,no,-2.5416,-0.9166,1.0189,0.4742,0.7055,0.366,2,1,1,1,Already
114,249,sin,Spanish,ADP,32,no,-0.7823,-3.46,-1.367,0.5612,0.6346,0.2782,4,3,3,2,without
134,317,ciento,Spanish,NUM,33,no,-3.7987,0.4004,0.395,0.4121,0.7422,0.343,2,1,1,1,hundred
397,1448,nos,Spanish,PRON,34,no,-3.8128,1.099,1.8013,0.4114,0.7617,0.3948,2,1,1,1,us
480,1889,porque,Spanish,SCONJ,35,no,-3.3387,-0.1362,0.0433,0.4348,0.7273,0.3301,2,1,1,1,because
317,3072,me,Spanish,PRON,36,no,-5.0816,0.3433,0.7225,0.3486,0.7406,0.3551,2,1,1,1,I
456,1757,si,Spanish,SCONJ,37,no,-2.7718,-0.777,0.9483,0.4628,0.7094,0.3634,2,1,1,1,Yes
32,55,presidente,Spanish,NOUN,38,no,0.5188,-6.1788,0.44,0.6256,0.5588,0.3447,4,3,3,2,President
112,236,han,Spanish,AUX,39,no,-8.657,3.655,0.0169,0.1718,0.8329,0.3291,1,1,1,1,they have
97,191,este,Spanish,DET,40,no,-4.4964,-1.3665,1.6929,0.3776,0.693,0.3908,2,1,1,1,East
132,306,dos,Spanish,NUM,41,no,1.1535,-2.4739,-0.0799,0.6569,0.6621,0.3256,4,3,3,2,two
243,686,años,Spanish,NOUN,42,no,0.9501,-5.692,-0.0158,0.6469,0.5724,0.3279,4,3,3,2,years
105,217,son,Spanish,AUX,43,no,-4.341,0.399,0.3442,0.3853,0.7422,0.3412,2,1,1,1,are
179,485,año,Spanish,NOUN,44,no,2.111,-3.6053,0.7526,0.7043,0.6305,0.3562,4,3,3,2,year
74,131,fue,Spanish,AUX,45,no,-3.3292,0.9045,0.6429,0.4353,0.7563,0.3522,2,1,1,1,it was
331,1103,desde,Spanish,ADP,46,no,-2.9574,-2.5611,-1.8749,0.4537,0.6597,0.2596,2,1,1,1,since
56,100,también,Spanish,ADV,47,no,-0.3725,-0.4511,1.0325,0.5815,0.7185,0.3665,2,1,1,1,also
64,115,ser,Spanish,AUX,48,no,1.5135,-1.5455,-0.6683,0.6747,0.688,0.3039,4,3,3,2,be
107,224,está,Spanish,AUX,49,no,0.4704,1.0865,-0.8453,0.6232,0.7613,0.2974,2,1,1,1,this
263,752,hay,Spanish,AUX,50,no,-0.5473,-5.0475,1.1712,0.5728,0.5903,0.3716,4,3,3,2,there are
323,1050,sólo,Spanish,ADV,51,no,1.4532,-1.3,0.9435,0.6718,0.6948,0.3632,4,3,3,2,single
49,87,esta,Spanish,DET,52,no,-5.5112,-1.16,0.6375,0.3274,0.6987,0.352,2,1,1,1,is
284,828,madrid,Spanish,PROPN,53,no,3.1773,-0.9875,1.3063,0.757,0.7035,0.3766,5,4,3,2,Madrid
471,1823,cuando,Spanish,SCONJ,54,no,-4.3812,-0.3119,-1.2416,0.3833,0.7224,0.2828,2,1,1,1,when
329,1097,ese,Spanish,DET,55,no,-4.3766,-1.0343,1.0419,0.3835,0.7022,0.3668,2,1,1,1,that
5,10,millones,Spanish,NOUN,56,no,1.1385,-2.87,-0.686,0.6562,0.651,0.3033,4,3,3,2,millions
9,14,mayo,Spanish,NOUN,58,no,0.8872,-1.6131,-1.3032,0.6438,0.6861,0.2806,4,3,3,2,May
116,253,vez,Spanish,NOUN,60,no,2.2658,-4.4714,-2.5802,0.7119,0.6064,0.2336,4,3,3,2,time
256,732,hace,Spanish,VERB,61,no,0.1044,-3.7802,1.5261,0.6051,0.6257,0.3846,4,3,3,2,does
106,219,país,Spanish,NOUN,62,no,2.8516,-2.6035,0.7141,0.7409,0.6585,0.3548,4,3,3,2,country
33,56,la,Spanish,PRON,63,no,-0.5678,-9.3948,3.5858,0.5718,0.4692,0.4604,4,3,3,2,the
63,114,puede,Spanish,AUX,64,no,-3.4508,1.1369,2.3156,0.4293,0.7627,0.4137,2,1,1,1,can
327,1066,pasado,Spanish,NOUN,65,no,1.4264,-2.7232,-0.6655,0.6704,0.6551,0.304,4,3,3,2,past
206,574,muy,Spanish,ADV,66,no,1.9805,-1.4135,-2.9982,0.6978,0.6916,0.2182,5,4,3,2,very
123,271,tiene,Spanish,VERB,67,no,-0.2317,-5.2557,2.5201,0.5885,0.5845,0.4212,4,3,3,2,have
51,90,durante,Spanish,ADP,68,no,-4.2809,-0.6084,1.6918,0.3882,0.7141,0.3907,2,1,1,1,during
118,265,dijo,Spanish,VERB,70,no,-2.332,-2.421,0.0357,0.4846,0.6636,0.3298,2,1,1,1,said
271,779,hasta,Spanish,ADP,71,no,-4.9975,-0.9861,-0.6398,0.3528,0.7036,0.305,2,1,1,1,until
484,1919,sino,Spanish,CCONJ,72,no,-3.0688,0.014,-2.4443,0.4482,0.7314,0.2386,4,3,3,2,otherwise
101,202,parte,Spanish,NOUN,73,no,-0.2284,-4.5068,-1.1316,0.5886,0.6054,0.2869,4,3,3,2,part
319,1031,uno,Spanish,PRON,74,no,1.6223,-2.767,0.9172,0.6801,0.6539,0.3622,4,3,3,2,one
220,625,paro,Spanish,NOUN,75,no,1.8114,-0.9494,-1.4836,0.6895,0.7046,0.2739,5,4,3,2,unemployment
348,3244,era,Spanish,AUX,76,no,-1.1799,0.0285,0.5767,0.5416,0.7318,0.3497,2,1,1,1,it was
380,1316,ministro,Spanish,NOUN,77,no,1.6048,-5.279,-1.3333,0.6793,0.5839,0.2795,4,3,3,2,Minister
90,164,personas,Spanish,NOUN,78,no,1.581,-2.4374,-1.3021,0.6781,0.6631,0.2806,4,3,3,2,people
310,991,tan,Spanish,ADV,79,no,-0.714,-1.0673,-2.8391,0.5646,0.7013,0.2241,4,3,3,2,so
192,543,tras,Spanish,ADP,80,no,-5.4068,1.3014,-0.1184,0.3326,0.7673,0.3242,2,1,1,1,after
281,820,donde,Spanish,PRON,81,no,0.432,2.3739,0.4176,0.6213,0.7972,0.3439,2,1,1,1,where
468,3860,ahora,Spanish,ADV,82,no,-3.8781,0.5812,0.6203,0.4081,0.7473,0.3513,2,1,1,1,now
442,1690,aunque,Spanish,SCONJ,84,no,-4.1698,1.4675,1.2719,0.3937,0.772,0.3753,2,1,1,1,though
347,1196,después,Spanish,ADV,85,no,1.7094,-0.8921,-0.3132,0.6844,0.7062,0.317,4,3,3,2,after
486,1970,él,Spanish,PRON,86,no,2.2634,-1.254,-0.7342,0.7118,0.6961,0.3015,4,3,3,2,the
87,161,ante,Spanish,ADP,88,no,-6.1731,-0.5632,-0.0142,0.2947,0.7154,0.328,2,1,1,1,in view of
258,735,menos,Spanish,ADV,89,no,-0.0879,-1.0708,-0.9639,0.5956,0.7012,0.2931,2,1,1,1,less
