,index,nodes GCC,edges,tokens,language
0,Ancient_Greek,488,2638,39279,Ancient_Greek
1,Arabic,494,2890,39185,Arabic
2,Armenian,482,2372,41252,Armenian
3,Basque,494,3602,39892,Basque
4,Belarusian,472,1662,36028,Belarusian
5,Bulgarian,489,2694,40158,Bulgarian
6,Catalan,494,3349,43775,Catalan
7,Chinese,500,3644,44608,Chinese
8,Classical_Chinese,500,7050,30611,Classical_Chinese
9,Croatian,491,2339,43919,Croatian
10,Czech,486,1970,38614,Czech
11,Danish,492,4069,42891,Danish
12,Dutch,493,3666,39952,Dutch
13,English,496,4241,42486,English
14,Estonian,470,2026,40653,Estonian
15,Finnish,480,1892,41102,Finnish
16,French,490,3090,43499,French
17,Galician,499,3965,42435,Galician
18,German,496,3291,42349,German
19,Hebrew,494,3281,37306,Hebrew
20,Hindi,495,4884,43264,Hindi
21,Icelandic,500,5168,43447,Icelandic
22,Indonesian,498,3764,41518,Indonesian
23,Irish,496,4532,44046,Irish
24,Italian,491,2935,41603,Italian
25,Japanese,499,4133,42686,Japanese
26,Korean,457,1483,39367,Korean
27,Latin,497,6227,39752,Latin
28,Latvian,483,1986,39721,Latvian
29,Lithuanian,489,1927,41720,Lithuanian
30,Naija,499,6342,32722,Naija
31,Norwegian,495,4131,41850,Norwegian
32,Old_Church_Slavonic,494,3297,34768,Old_Church_Slavonic
33,Old_East_Slavic,491,2446,32470,Old_East_Slavic
34,Old_French,497,4707,38552,Old_French
35,Persian,499,4808,43028,Persian
36,Polish,482,2561,35445,Polish
37,Portuguese,489,3018,42305,Portuguese
38,Romanian,499,4615,41482,Romanian
39,Russian,483,1985,42289,Russian
40,Scottish_Gaelic,498,5258,40680,Scottish_Gaelic
41,Serbian,491,2452,43991,Serbian
42,Slovak,471,1509,35708,Slovak
43,Slovenian,471,1933,42368,Slovenian
44,Spanish,494,2852,43337,Spanish
45,Swedish,493,3842,40204,Swedish
46,Turkish,491,2130,37678,Turkish
47,Ukrainian,466,1682,39110,Ukrainian
48,Urdu,496,5386,44957,Urdu
49,Western_Armenian,474,1848,39788,Western_Armenian
