,languages,pc1,pc2,pc3,iol,prim_or_neigh
0,Ancient_Greek,-2.9070861283372027,1.0434582815127367,1.298961660828072,inflected,neighbours
1,Arabic,0.5508070689320179,-3.652482506142586,0.606752688934844,inflected,neighbours
2,Armenian,-5.051629114048508,2.2161436129139296,-1.2504735356873131,inflected,neighbours
3,Basque,1.6983996545192206,0.6710478274111897,-0.3182090087225382,inflected,neighbours
4,Belarusian,-7.641924176091309,-0.4487128673343146,-1.6704737113186836,inflected,neighbours
5,Bulgarian,-1.207800857426735,-2.635767851381964,0.041195101097019904,inflected,neighbours
6,Catalan,3.8681808824925894,-7.1541662778022355,-0.16305640951898892,inflected,neighbours
7,Chinese,2.275251350815545,-0.1783155268321309,2.5089910317098396,inflected,neighbours
8,Classical_Chinese,11.76195915282808,3.5684128286773107,-2.235962964601433,inflected,neighbours
9,Croatian,-3.294202390482301,-0.6328595908399196,0.9580864751895458,inflected,neighbours
10,Czech,-6.3099405218874205,0.5514500449452362,0.03751625037461819,inflected,neighbours
11,Danish,2.143662095950504,1.744793640299617,-0.273060829619119,inflected,neighbours
12,Dutch,0.3888740941256256,2.4154163557587522,1.9209444383737515,inflected,neighbours
13,English,1.481812857119006,3.1530620467625474,2.7764045223997558,inflected,neighbours
14,Estonian,-6.5545280422012295,1.2397678871863977,-1.0176188772878851,inflected,neighbours
15,Finnish,-7.0985089316939405,0.4491940255084538,-1.3728766388861067,inflected,neighbours
16,French,0.761894922137932,-3.4849591064192302,1.0071490668282534,inflected,neighbours
17,Galician,6.729065843170634,-6.808258505380911,1.3792051813642057,inflected,neighbours
18,German,-2.2487059687293844,2.9602646633967042,1.9014578295429188,inflected,neighbours
19,Hebrew,3.88516419430238,-6.18351440783126,-0.3084123802336629,inflected,neighbours
20,Hindi,5.217619245838812,0.887919984569679,0.2685671618445219,inflected,neighbours
21,Icelandic,4.830684252733852,4.638104052461043,1.4001914526778587,inflected,neighbours
22,Indonesian,1.0758225538567308,1.6483349756662866,1.883783134295429,inflected,neighbours
23,Irish,4.899212983058091,-0.06937393155838387,0.1798875884144551,inflected,neighbours
24,Italian,-0.014289407220725185,-3.3425416277343407,1.234611521343058,inflected,neighbours
25,Japanese,4.961812291296531,-3.308293132001896,0.4434377703725676,inflected,neighbours
26,Korean,-9.437816980502076,0.7482525847975804,-2.0538317360025076,inflected,neighbours
27,Latin,8.968666839915802,3.1197373233495664,-0.6847352164602644,inflected,neighbours
28,Latvian,-5.727531273361227,-0.6872204011410651,-1.570583949746163,inflected,neighbours
29,Lithuanian,-5.7782349037331535,-0.16910577225686288,0.6567265363586896,inflected,neighbours
30,Naija,12.327065985314938,4.562772713809083,-6.801346688326482,inflected,neighbours
31,Norwegian,1.5968364134685809,3.2199607399202055,1.8804409853283395,inflected,neighbours
32,Old_Church_Slavonic,-1.1380201342384024,1.472547992686668,0.8421536234623449,inflected,neighbours
33,Old_East_Slavic,-1.971848813418538,-2.312112307989956,0.7509130435012604,inflected,neighbours
34,Old_French,3.0680623682385346,4.170825332413972,2.0812119892658463,inflected,neighbours
35,Persian,5.8483124905845685,-0.15306312971101443,1.1831900440161656,inflected,neighbours
36,Polish,-2.932760198188752,0.38046809661295145,-3.0962255617274974,inflected,neighbours
37,Portuguese,2.0140192533557824,-4.470374560312617,0.7621274196266283,inflected,neighbours
38,Romanian,2.110444072729747,4.551423814601733,3.4027811964614973,inflected,neighbours
39,Russian,-5.966600575245355,-0.3506837005060374,-0.32790098895264136,inflected,neighbours
40,Scottish_Gaelic,7.953009771954677,0.8064388171888283,-1.9074097910640195,inflected,neighbours
41,Serbian,-2.8509134793144457,-0.13702159194138702,0.9843062007683857,inflected,neighbours
42,Slovak,-8.896563633084753,-0.16012749826418274,-1.9264874991581074,inflected,neighbours
43,Slovenian,-6.150237976734965,-0.19491813457002713,-1.724846888704676,inflected,neighbours
44,Spanish,3.222188359605185,-7.308329768688289,-1.2253774323241875,inflected,neighbours
45,Swedish,1.3228827676055768,1.2080418845979364,0.2932086984714229,inflected,neighbours
46,Turkish,-5.464826642576505,1.1254398249787267,1.2053861558335899,inflected,neighbours
47,Ukrainian,-8.045891397142453,0.2295046465152714,-2.0286841207638706,inflected,neighbours
48,Urdu,8.966752255006071,-0.6414156004169983,-1.673090433145165,inflected,neighbours
49,Western_Armenian,-7.238602475297648,1.7008337985152169,-0.25892410643361613,inflected,neighbours
